a_opt,u_opt,meas,error
no_action,0.03183662200000004,54.653024670696325,1.0
strengthen,0.053388004132505724,64.78300731908976,1.0
no_action,0.026659307500000007,52.13325695521452,1.0
strengthen,0.06106883057498597,69.41813403513694,1.0
strengthen,0.05589569194842893,66.48225053845462,1.0
no_action,0.043723411200000006,60.73273204851216,1.0
no_action,0.031913687199999985,54.87617323909072,1.0
no_action,0.007359880999999957,39.69447186528835,1.0
no_action,0.03374080749999997,55.76670366381553,1.0
strengthen,0.050677099323395855,63.36657787212859,1.0
no_action,0.027293085399999972,52.62162383400869,1.0
no_action,0.04421916869999998,60.86894412629325,1.0
no_action,0.02247177499999997,50.57015621229145,1.0
strengthen,0.05312437234134468,64.64263021731819,1.0
no_action,0.04864556080000004,62.25238214104813,1.0
no_action,0.03663843999999994,57.57141454625289,1.0
no_action,0.02777003789999999,52.80330012904215,1.0
no_action,0.008096975800000017,40.44312557026123,1.0
no_action,0.029719838799999954,53.52832502766767,1.0
no_action,0.041153172499999946,59.71575880248967,1.0
no_action,0.009625253199999961,42.36326112538751,1.0
no_action,0.01305034270000005,45.37537715413044,1.0
no_action,0.009126536699999965,41.614016730016765,1.0
no_action,0.014671918000000006,46.75361638328396,1.0
no_action,0.013432876400000016,45.880641369819244,1.0
no_action,0.011247742899999968,44.17104152130853,1.0
no_action,0.009525808000000024,42.429613596362216,1.0
no_action,0.005858091400000043,37.9153861155411,1.0
no_action,0.009794556200000026,42.69440980179523,1.0
no_action,0.012027156100000047,44.9542066557336,1.0
no_action,0.015443929599999962,47.10939184536887,1.0
no_action,0.02543313700000005,51.88669867321931,1.0
no_action,0.013732680000000053,45.921067646839525,1.0
no_action,0.03103703499999999,54.072627640435854,1.0
no_action,0.027899790400000013,52.68806295150243,1.0
no_action,0.021540891699999953,49.97658605245654,1.0
no_action,0.01535067499999998,47.21462886466274,1.0
no_action,0.0075742359999999564,40.054927989661245,1.0
no_action,0.016422022999999952,47.63460362929091,1.0
no_action,0.02489959679999998,51.21870956573459,1.0
no_action,0.02286845280000005,50.66771586981434,1.0
no_action,0.03649535999999998,57.452295428249606,1.0
no_action,0.019303300899999987,48.98009555220458,1.0
no_action,0.04349074239999995,60.55668238131494,1.0
no_action,0.038211855100000025,58.590367546541046,1.0
no_action,0.032039291599999964,54.73961409792622,1.0
no_action,0.023267043799999998,50.81717014512475,1.0
no_action,0.007990470199999988,40.649190161535756,1.0
no_action,0.024861775500000016,51.413604978772845,1.0
no_action,0.03524444560000006,56.50363849512617,1.0
no_action,0.012867646899999974,45.443840255749826,1.0
no_action,0.020240226999999944,49.50435159480889,1.0
no_action,0.011776491699999947,44.43381430253346,1.0
no_action,0.025279166100000028,51.362299948893195,1.0
no_action,0.021883403399999946,50.18547777236898,1.0
no_action,0.01676316099999997,47.88083561918191,1.0
no_action,0.012965068700000026,45.53328732823854,1.0
no_action,0.007133831199999996,39.44784052006363,1.0
no_action,0.013103248600000006,45.890248343166405,1.0
no_action,0.019197402999999946,48.93658874367754,1.0
no_action,0.01210857700000001,44.899353187161985,1.0
no_action,0.01893287769999996,48.75039783555347,1.0
no_action,0.01119798790000004,43.9414307195026,1.0
no_action,0.022453999999999974,50.512501538394545,1.0
no_action,0.019937094099999997,49.39638724475433,1.0
no_action,0.015430075000000043,47.210633015942065,1.0
no_action,0.012379819199999975,44.984186017576334,1.0
no_action,0.007066880899999961,39.21266479603391,1.0
no_action,0.01258453319999997,45.32273274025115,1.0
no_action,0.0177734571,48.2119237600417,1.0
no_action,0.011417615000000048,44.06415054691792,1.0
no_action,0.01663823200000003,47.61524635829103,1.0
no_action,0.0102172908,43.180838413949985,1.0
no_action,0.020118579999999997,49.24010393582589,1.0
no_action,0.018198754599999978,48.210921167245196,1.0
no_action,0.013810268800000025,46.19541020975259,1.0
no_action,0.01096839940000005,44.142375947103076,1.0
no_action,0.006567804999999982,38.82038497937155,1.0
no_action,0.011665205200000028,44.454554059435985,1.0
no_action,0.015366554999999948,47.11871276580683,1.0
no_action,0.012476276000000008,45.26845891997622,1.0
no_action,0.020030382099999966,49.26024894371891,1.0
no_action,0.011052004599999998,44.27552694981096,1.0
no_action,0.024070944500000024,51.0867528209822,1.0
no_action,0.021921185700000012,49.929847536965156,1.0
no_action,0.01679689520000005,47.664209840821975,1.0
no_action,0.012843788500000008,45.35639216330418,1.0
no_action,0.006856903199999986,39.37393728743168,1.0
no_action,0.012879698200000012,45.707311862640445,1.0
no_action,0.018701988999999974,48.7020950818649,1.0
no_action,0.019421193599999942,49.117177491881854,1.0
no_action,0.032249311199999964,54.93625332204253,1.0
no_action,0.01737013679999999,47.66971998679869,1.0
no_action,0.03670116000000001,57.59885944677857,1.0
no_action,0.034453515000000046,55.91236803917275,1.0
no_action,0.0277478444,52.609609758022856,1.0
no_action,0.019954056799999953,49.24536314490316,1.0
no_action,0.007995453699999988,40.524373722574644,1.0
no_action,0.021383783800000056,49.756920197901735,1.0
no_action,0.031236842600000037,54.12259838836436,1.0
no_action,0.028290659199999957,52.767246630983884,1.0
no_action,0.04498152300000002,61.1362178664466,1.0
no_action,0.022871414399999956,50.685519123359846,1.0
strengthen,0.05346523972991614,64.96556718576412,1.0
no_action,0.04929702400000002,62.54006208992856,1.0
no_action,0.03697457999999998,57.7900485380573,1.0
no_action,0.028833353999999978,52.95160271676884,1.0
no_action,0.007964556000000012,40.40911113383537,1.0
no_action,0.02977734190000003,53.68732199364325,1.0
no_action,0.041696336,59.96602264399374,1.0
no_action,0.04211509120000001,60.24725384244369,1.0
strengthen,0.07416097803603752,78.47436564066783,1.0
no_action,0.034028546800000004,55.71337758127096,1.0
replace,0.08500200089414413,86.8144562197693,1.0
strengthen,0.08018966143391013,81.53185322053548,1.0
strengthen,0.06440981126297086,71.18661177841332,1.0
no_action,0.043792964200000006,60.64877021664827,1.0
no_action,0.0031000182000000542,33.3319842129294,1.0
no_action,0.04867774899999999,62.25112218254759,1.0
strengthen,0.07079661894883635,75.92575141494135,1.0
no_action,0.014565738900000014,46.83308380720505,1.0
no_action,0.02548449399999997,51.48298437261212,1.0
no_action,0.01302968520000003,45.6764510930541,1.0
no_action,0.03005438709999997,53.61061667819158,1.0
no_action,0.026944643200000007,52.262977022228554,1.0
no_action,0.020882842000000013,49.62381265194783,1.0
no_action,0.014852563200000057,46.93551425455743,1.0
no_action,0.007762225899999975,39.9667558418191,1.0
no_action,0.016210768600000036,47.3442886887463,1.0
no_action,0.022957300800000024,50.832809903919575,1.0
no_action,0.022940781199999982,50.546676124339356,1.0
no_action,0.03625526000000001,57.250158490209024,1.0
no_action,0.019148907699999995,48.87922820926333,1.0
no_action,0.04291871530000002,60.31743819670699,1.0
no_action,0.037861122499999955,58.37462704575414,1.0
no_action,0.031608906899999956,54.569902284879696,1.0
no_action,0.02302863310000003,50.69434394817696,1.0
no_action,0.008056252399999964,40.64790349752882,1.0
no_action,0.024538367999999977,51.28364949840511,1.0
no_action,0.034826465999999945,56.31284100904744,1.0
no_action,0.025111157600000045,51.667755728101554,1.0
no_action,0.039982002100000025,59.16325433561482,1.0
no_action,0.02123335719999997,49.80329889157912,1.0
no_action,0.04960220829999995,62.59293304797562,1.0
no_action,0.04285983910000002,60.420578817468275,1.0
no_action,0.03461134330000004,56.166325939545494,1.0
no_action,0.025812937800000046,51.83287050092241,1.0
no_action,0.008027348100000053,40.59944341059416,1.0
no_action,0.02732891879999999,52.491802484338166,1.0
no_action,0.037358978700000045,58.11519282200285,1.0
no_action,0.01326403119999997,45.77918569531587,1.0
no_action,0.021682630000000036,49.974513842575405,1.0
no_action,0.01187894580000004,44.735624932357084,1.0
no_action,0.025912814999999978,51.894149665548056,1.0
no_action,0.023222633299999962,50.67825472295805,1.0
no_action,0.018173006800000002,48.297094005188185,1.0
no_action,0.013285897000000046,45.871602583132955,1.0
no_action,0.0073658629999999725,39.584107203572444,1.0
no_action,0.014239067999999966,46.24041539224784,1.0
no_action,0.01951113790000003,49.38790016970935,1.0
no_action,0.014456497900000032,46.547314557828166,1.0
no_action,0.02419158939999999,51.06914100098287,1.0
no_action,0.012715655199999953,45.42253945386684,1.0
no_action,0.02876947679999997,53.13817105557224,1.0
no_action,0.025749891399999947,51.827649992495694,1.0
no_action,0.01952609120000004,49.26117721108852,1.0
no_action,0.014780028,46.64692372127307,1.0
no_action,0.0073580341000000216,39.87010868546203,1.0
no_action,0.015212754600000045,47.04443911322619,1.0
no_action,0.022404624999999956,50.43687455488507,1.0
no_action,0.030559780000000036,53.889339767280674,1.0
strengthen,0.05101833731195504,63.2624499173165,1.0
no_action,0.02490283059999998,51.55783919423075,1.0
strengthen,0.05742832439704345,67.55125817857984,1.0
strengthen,0.05353565172755542,64.8347323603999,1.0
no_action,0.04063421850000004,59.51479529965427,1.0
no_action,0.03104783479999995,54.09581555149292,1.0
no_action,0.007841961899999972,40.04843124879938,1.0
no_action,0.03214430140000002,54.919809042165646,1.0
no_action,0.04770994939999995,61.95185051286175,1.0
no_action,0.031311451799999945,54.25602942605977,1.0
strengthen,0.05223719157108967,63.984669439584344,1.0
no_action,0.02603829940000002,51.836093097194336,1.0
strengthen,0.058993696144560195,68.43615576514533,1.0
strengthen,0.0542993416019507,65.61658986338144,1.0
