a_opt,u_opt,meas,error
strengthen,0.05355633812686193,65.17522349400663,1.0
no_action,0.0453186136,61.27254310820109,1.0
no_action,0.009193426800000015,42.15414919487506,1.0
no_action,0.023436076400000005,50.90877334493399,1.0
no_action,0.03664138000000006,57.56679418821392,1.0
no_action,0.017156854100000007,47.82309062601128,1.0
no_action,0.015138309599999955,46.817779155494335,1.0
no_action,0.012270696800000036,45.27865447844762,1.0
no_action,0.01585368740000004,47.499103277732104,1.0
no_action,0.031846437000000005,54.653024670696325,1.0
no_action,0.04645467339999998,61.55047296319149,1.0
strengthen,0.07117489893615359,76.32478539125665,1.0
no_action,0.02238487499999997,50.39569909221597,1.0
no_action,0.03624938,57.33854588050383,1.0
no_action,0.04055315920000002,59.45824393906364,1.0
no_action,0.01871806939999998,48.44305605472264,1.0
no_action,0.021822415699999986,49.865566429358964,1.0
strengthen,0.051793964085950106,63.70127106583577,1.0
strengthen,0.05305603474363584,64.40791257814541,1.0
strengthen,0.05325916243682543,64.78300731908976,1.0
no_action,0.011181934999999976,43.89142967685631,1.0
no_action,0.03806469339999996,58.49543910531762,1.0
strengthen,0.04977511665363722,62.72824716752415,1.0
no_action,0.025259071799999977,51.40743721079705,1.0
no_action,0.037693349200000004,58.26057476751806,1.0
no_action,0.025688815199999993,51.65208208325685,1.0
no_action,0.00632256320000002,38.5299734036105,1.0
strengthen,0.06249705522710093,70.22412950724564,1.0
no_action,0.03340296799999998,55.3215757344554,1.0
no_action,0.026295741600000033,52.13325695521452,1.0
no_action,0.019617253000000057,49.3152081866692,1.0
no_action,0.019224996399999972,49.031271481992604,1.0
no_action,0.03601810000000005,57.11152609096769,1.0
no_action,0.03515231620000003,56.436289189393094,1.0
no_action,0.003980382399999982,34.54089575860403,1.0
no_action,0.033346591599999975,55.54410541540529,1.0
no_action,0.013483560199999967,46.08267383077093,1.0
no_action,0.031050279100000022,54.205133167856,1.0
no_action,0.044583803199999994,61.00011472050173,1.0
strengthen,0.06110231717386315,69.41813403513694,1.0
no_action,0.029395096100000018,53.52713526935686,1.0
no_action,0.04874024440000002,62.42262509513805,1.0
no_action,0.04120420079999998,59.705923446488576,1.0
no_action,0.034830386799999946,56.212656479164366,1.0
strengthen,0.05980030671751657,68.71153195498563,1.0
no_action,0.031426310700000015,54.4293919604676,1.0
no_action,0.01201820379999996,44.84423768854949,1.0
no_action,0.008180690200000007,40.641551642615056,1.0
no_action,0.035462439999999984,56.660547982004694,1.0
strengthen,0.05589569194842893,66.48225053845462,1.0
no_action,0.048113909899999974,62.12491656803157,1.0
strengthen,0.0682440742344172,73.88398107754782,1.0
no_action,0.018047121599999993,48.13743398233654,1.0
no_action,0.027773366799999977,52.37024204454307,1.0
no_action,0.02046784970000004,49.5931380416596,1.0
strengthen,0.05036953213370783,63.04259052384941,1.0
no_action,0.040203401999999944,59.21359906660384,1.0
no_action,0.019024067000000033,48.74076458182912,1.0
no_action,0.028700652800000004,53.069247114753715,1.0
no_action,0.043619726199999986,60.73273204851216,1.0
no_action,0.04228164779999999,60.21148865104991,1.0
no_action,0.015261391999999985,47.164410084024915,1.0
no_action,0.04680024039999997,61.83440966786809,1.0
no_action,0.03954519700000003,58.97173743130034,1.0
strengthen,0.052297715269060546,64.04790199436636,1.0
no_action,0.01430064639999995,46.457768571715285,1.0
no_action,0.01023238059999998,43.361985362587106,1.0
strengthen,0.058345995166276074,68.07893883727202,1.0
no_action,0.013198433799999965,45.69045765585406,1.0
no_action,0.03197258319999996,54.87617323909072,1.0
no_action,0.029174926499999976,53.29888696164677,1.0
strengthen,0.05743721189674541,67.50369578727359,1.0
strengthen,0.05683104941706858,66.97425147300437,1.0
strengthen,0.053870305516335246,65.58702667141307,1.0
no_action,0.04253192019999996,60.46998205764472,1.0
no_action,0.03726465999999995,58.027635111577816,1.0
no_action,0.030716900000000047,53.98010358523699,1.0
no_action,0.036914800000000025,57.79643403510698,1.0
no_action,0.03438979549999999,55.98950791076997,1.0
no_action,0.007570968000000011,39.69447186528835,1.0
no_action,0.03565549999999995,56.885577564623695,1.0
strengthen,0.06422701936909941,71.17120928457234,1.0
no_action,0.023143681299999996,50.65419249881078,1.0
no_action,0.008832937600000035,41.44754711472375,1.0
no_action,0.03866972499999999,58.73242419464617,1.0
no_action,0.02209403320000003,50.13294910134853,1.0
no_action,0.02607080110000004,51.89394371856035,1.0
no_action,0.005403179999999952,36.981700072312876,1.0
no_action,0.032369042000000015,55.098977486045165,1.0
no_action,0.03420353850000002,55.76670366381553,1.0
no_action,0.011517105000000027,44.38343061140606,1.0
no_action,0.04126645870000001,59.9569078049267,1.0
no_action,0.029988557499999957,53.754155058893,1.0
strengthen,0.06602769450872711,72.3357077462502,1.0
strengthen,0.05528094706903984,66.02144346131121,1.0
no_action,0.028072921599999967,52.838046038282876,1.0
no_action,0.027450381700000026,52.60510638234263,1.0
no_action,0.02400947919999996,51.159757703372115,1.0
no_action,0.009761691499999947,42.78674231258867,1.0
strengthen,0.05079018621960432,63.36657787212859,1.0
no_action,0.04498933900000002,61.188266728377585,1.0
no_action,0.037188219999999994,58.010901449745084,1.0
no_action,0.009520827999999981,42.445670634441576,1.0
no_action,0.02083440550000004,49.573243495146954,1.0
no_action,0.032333200900000025,54.99386782523351,1.0
no_action,0.01511155630000005,47.06103645722483,1.0
no_action,0.014007783800000007,46.24256262773848,1.0
no_action,0.012129463600000001,44.98948504390111,1.0
no_action,0.014324570800000047,46.797262320125974,1.0
no_action,0.027708052199999944,52.62162383400869,1.0
no_action,0.037740379599999985,58.23717790178398,1.0
strengthen,0.06250886322670504,70.26567695472741,1.0
no_action,0.019592515499999963,49.15552434963972,1.0
no_action,0.03206775220000002,54.808039579994066,1.0
no_action,0.0351562366,56.53379069119158,1.0
no_action,0.01663228299999997,47.56578100005353,1.0
no_action,0.019088536000000045,48.72391710807383,1.0
no_action,0.04184808849999999,59.98824909827399,1.0
no_action,0.04284890760000004,60.56356093109003,1.0
no_action,0.0440793424,60.86894412629325,1.0
